timestamp	latitude	longitude	precipitation	land_surface_temperature	air_temperature	atmospheric_pressure	vapor_pressure	solar_radiation	wind_speed	wind_direction	lightning_distance	lightning_activity	gust_speed	VPD	EC	NDVI	water_content_5cm	saturation_extract_EC_5cm	matric_potential_5cm	water_content_10cm	saturation_extract_EC_10cm	water_content_20cm	saturation_extract_EC_20cm	matric_potential_20cm	water_content_50cm	saturation_extract_EC_50cm	matric_potential_50cm	water_content_100cm	saturation_extract_EC_100cm	soil_temperature_5cm	soil_temperature_10cm	soil_temperature_20cm	soil_temperature_50cm	soil_temperature_100cm
2025-08-27 00:00:00	30.2684	-91.0975	0	23.682	23.275	101.918	2.718	0	0.62	22.725	0	0	1.367	0.143	0	NA	0.296	1.063	-0.2	0.237	1.288	0.378	1.522	-0.2	0.43	NA	-0.1	0.482	NA	29.125	29.15	28.875	28.1	26.9
2025-08-27 01:00:00	30.2684	-91.0975	0	23.195	22.95	101.918	2.682	0	0.448	42.25	0	0	0.885	0.115	0	NA	0.296	1.061	-0.2	0.237	1.286	0.378	1.521	-0.2	0.43	NA	-0.1	0.482	NA	28.95	28.975	28.887	28.1	26.9
2025-08-27 02:00:00	30.2684	-91.0975	0	22.88	22.6	101.915	2.661	0	0.277	84.275	0	0	0.545	0.082	0	NA	0.296	1.057	-0.2	0.236	1.286	0.378	1.518	-0.2	0.43	NA	-0.1	0.482	NA	28.75	28.825	28.85	28.1	26.9
2025-08-27 03:00:00	30.2684	-91.0975	0	22.912	22.625	101.92	2.658	0	0.372	110.525	0	0	0.865	0.085	0	NA	0.296	1.056	-0.2	0.237	1.286	0.378	1.519	-0.2	0.43	NA	-0.1	0.482	NA	28.575	28.65	28.838	28.125	26.9
2025-08-27 04:00:00	30.2684	-91.0975	0	23.43	22.95	101.935	2.727	0	0.312	94.675	0	0	0.6	0.075	0	NA	0.295	1.053	-0.2	0.237	1.283	0.378	1.517	-0.2	0.43	NA	-0.1	0.482	NA	28.413	28.5	28.8	28.15	26.9
2025-08-27 05:00:00	30.2684	-91.0975	0	23.462	23.125	101.955	2.747	0	0.495	31.95	0	0	0.998	0.082	0	NA	0.295	1.052	-0.2	0.237	1.282	0.378	1.518	-0.2	0.43	NA	-0.1	0.482	NA	28.275	28.35	28.725	28.15	26.9
2025-08-27 06:00:00	30.2684	-91.0975	0	23.115	22.9	101.982	2.678	0	0.897	55.225	0	0	1.938	0.115	0	NA	0.295	1.05	-0.2	0.237	1.28	0.378	1.515	-0.2	0.43	NA	-0.1	0.482	NA	28.163	28.225	28.675	28.175	26.9
2025-08-27 07:00:00	30.2684	-91.0975	0	23.418	22.8	102.048	2.61	21.9	0.815	67.725	0	0	1.475	0.16	0	0.375	0.295	1.049	-0.275	0.237	1.279	0.378	1.516	-0.2	0.43	NA	-0.1	0.482	NA	28.012	28.075	28.637	28.2	26.9
2025-08-27 08:00:00	30.2684	-91.0975	0	24.79	23.35	102.088	2.635	105.175	1.193	60.175	0	0	2.295	0.238	0	0.368	0.295	1.049	-0.3	0.236	1.279	0.378	1.514	-0.2	0.43	NA	-0.1	0.482	NA	27.925	27.975	28.575	28.2	26.9
2025-08-27 09:00:00	30.2684	-91.0975	0	25.472	23.8	102.115	2.589	114.25	1.582	55.95	0	0	2.928	0.358	0	0.352	0.295	1.049	-0.3	0.236	1.278	0.378	1.515	-0.2	0.43	NA	-0.1	0.482	NA	27.85	27.875	28.512	28.2	26.9
2025-08-27 10:00:00	30.2684	-91.0975	0	27.782	24.275	102.118	2.582	233.575	1.812	66.175	0	0	3.602	0.452	0	0.342	0.294	1.051	-0.3	0.236	1.276	0.377	1.514	-0.2	0.43	NA	-0.1	0.482	NA	27.812	27.8	28.475	28.188	26.9
2025-08-27 11:00:00	30.2684	-91.0975	0	31.175	25.475	102.125	2.713	374.2	1.712	55	0	0	3.208	0.545	0	0.34	0.294	1.053	-0.3	0.236	1.277	0.377	1.513	-0.2	0.43	NA	-0.1	0.482	NA	27.838	27.7	28.413	28.15	26.9
2025-08-27 12:00:00	30.2684	-91.0975	0	34.855	27.025	102.085	2.832	530.225	1.782	53.8	0	0	3.27	0.738	0	0.343	0.294	1.057	-0.3	0.236	1.277	0.377	1.514	-0.2	0.43	NA	-0.1	0.482	NA	27.925	27.7	28.363	28.15	26.9
2025-08-27 13:00:00	30.2684	-91.0975	0	38.11	28.55	102.045	2.875	677.8	1.665	79.75	0	0	3.82	1.028	0	0.345	0.294	1.063	-0.3	0.236	1.278	0.377	1.514	-0.2	0.43	NA	-0.1	0.482	NA	28.137	27.725	28.337	28.15	26.9
2025-08-27 14:00:00	30.2684	-91.0975	0	38.98	29.55	101.993	2.955	650.975	1.565	69.6	0	0	3.458	1.18	0	0.348	0.293	1.066	-0.3	0.236	1.281	0.377	1.514	-0.2	0.43	NA	-0.1	0.482	NA	28.425	27.85	28.3	28.15	26.9
2025-08-27 15:00:00	30.2684	-91.0975	0	39.68	30.35	101.928	2.968	634.225	1.625	86.675	0	0	3.332	1.365	0	0.352	0.293	1.067	-0.3	0.236	1.283	0.377	1.515	-0.2	0.43	NA	-0.1	0.482	NA	28.712	28.05	28.3	28.113	26.9
2025-08-27 16:00:00	30.2684	-91.0975	0	38.858	30.9	101.888	2.94	541.125	1.335	129.25	0	0	3.928	1.53	0	0.346	0.292	1.065	-0.3	0.236	1.284	0.377	1.515	-0.2	0.43	NA	-0.1	0.482	NA	28.975	28.275	28.3	28.1	26.9
2025-08-27 17:00:00	30.2684	-91.0975	0	36.71	30.925	101.84	2.875	370.65	1.135	92.9	0	0	2.58	1.598	0	0.226	0.292	1.06	-0.3	0.235	1.287	0.377	1.516	-0.2	0.43	NA	-0.1	0.482	NA	29.188	28.5	28.325	28.1	26.9
2025-08-27 18:00:00	30.2684	-91.0975	0	33.142	30.375	101.832	2.815	169.55	0.932	76.1	0	0	1.857	1.52	0	0.271	0.292	1.053	-0.3	0.235	1.285	0.377	1.518	-0.2	0.43	NA	-0.15	0.482	NA	29.275	28.7	28.363	28.1	26.9
2025-08-27 19:00:00	30.2684	-91.0975	0	27.75	28.15	101.838	2.788	19	0.452	82.275	0	0	0.887	1.032	0	0.233	0.291	1.048	-0.3	0.235	1.285	0.377	1.519	-0.2	0.43	NA	-0.2	0.482	NA	29.262	28.825	28.4	28.1	26.9
2025-08-27 20:00:00	30.2684	-91.0975	0	25.71	26.475	101.865	2.76	0	0.848	176.525	0	0	1.825	0.693	0	NA	0.291	1.042	-0.3	0.235	1.284	0.377	1.519	-0.2	0.43	NA	-0.2	0.482	NA	29.2	28.9	28.45	28.1	26.9
2025-08-27 21:00:00	30.2684	-91.0975	0	24.722	24.95	101.9	2.728	0	0.473	88.775	0	0	1.092	0.428	0	NA	0.291	1.036	-0.3	0.235	1.283	0.377	1.52	-0.2	0.43	NA	-0.2	0.482	NA	29.05	28.875	28.525	28.1	26.9
2025-08-27 22:00:00	30.2684	-91.0975	0	23.982	23.95	101.922	2.715	0	0.372	223.3	0	0	0.895	0.255	0	NA	0.291	1.032	-0.3	0.235	1.283	0.377	1.52	-0.2	0.43	NA	-0.2	0.482	NA	28.887	28.8	28.55	28.1	26.9
2025-08-27 23:00:00	30.2684	-91.0975	0	23.6	23.325	101.93	2.7	0	0.39	104.675	0	0	1.21	0.165	0	NA	0.291	1.028	-0.3	0.235	1.282	0.377	1.518	-0.2	0.43	NA	-0.2	0.482	NA	28.725	28.675	28.55	28.1	26.9
2025-08-28 00:00:00	30.2684	-91.0975	0	23.27	23.025	101.91	2.687	0	0.29	138.825	0	0	0.73	0.128	0	NA	0.291	1.027	-0.3	0.235	1.281	0.377	1.517	-0.2	0.43	NA	-0.2	0.482	NA	28.575	28.55	28.55	28.1	26.9
