timestamp	latitude	longitude	precipitation	land_surface_temperature	air_temperature	atmospheric_pressure	vapor_pressure	solar_radiation	wind_speed	wind_direction	lightning_distance	lightning_activity	gust_speed	VPD	EC	NDVI	water_content_5cm	saturation_extract_EC_5cm	matric_potential_5cm	water_content_10cm	saturation_extract_EC_10cm	water_content_20cm	saturation_extract_EC_20cm	matric_potential_20cm	water_content_50cm	saturation_extract_EC_50cm	matric_potential_50cm	water_content_100cm	saturation_extract_EC_100cm	soil_temperature_5cm	soil_temperature_10cm	soil_temperature_20cm	soil_temperature_50cm	soil_temperature_100cm
2025-08-27 00:00:00	32.7538	-93.071	0	20.172	19.525	100.83	2.073	0	1.765	64.275	0	0	3.208	0.195	0	NA	0.195	0.01	-35.65	0.163	0	0.203	0.017	-186.4	0.354	0.436	-0.7	0.361	0.194	29.913	29.425	29.837	30.45	29
2025-08-27 01:00:00	32.7538	-93.071	0	20.038	19.35	100.825	2.079	0	1.815	63.075	0	0	3.625	0.162	0	NA	0.195	0.01	-35.975	0.163	0	0.203	0.016	-188.125	0.354	0.435	-0.7	0.361	0.194	29.65	29.125	29.587	30.45	29
2025-08-27 02:00:00	32.7538	-93.071	0	19.928	19.2	100.83	2.082	0	1.645	65.975	0	0	3.44	0.14	0	NA	0.195	0.009	-36.275	0.162	0	0.203	0.016	-189.825	0.353	0.433	-0.7	0.361	0.195	29.438	28.85	29.325	30.45	29
2025-08-27 03:00:00	32.7538	-93.071	0	19.885	19.2	100.802	2.089	0	1.905	74.325	0	0	3.632	0.135	0	NA	0.195	0.007	-36.6	0.162	0	0.203	0.016	-191.575	0.353	0.432	-0.7	0.361	0.194	29.212	28.6	29.1	30.438	29
2025-08-27 04:00:00	32.7538	-93.071	0	19.782	19.125	100.803	2.093	0	1.68	65.425	0	0	3.265	0.122	0	NA	0.195	0.009	-36.875	0.162	0	0.203	0.016	-193.1	0.353	0.431	-0.7	0.361	0.194	29.025	28.375	28.913	30.4	29
2025-08-27 05:00:00	32.7538	-93.071	0	19.548	18.95	100.822	2.079	0	1.878	80.4	0	0	3.502	0.108	0	NA	0.195	0.01	-37.175	0.162	0	0.203	0.017	-194.675	0.353	0.43	-0.7	0.361	0.195	28.837	28.15	28.725	30.387	29
2025-08-27 06:00:00	32.7538	-93.071	0	19.66	19.15	100.82	2.09	0	2.355	86.65	0	0	4.155	0.128	0	NA	0.195	0.008	-37.45	0.162	0	0.203	0.016	-196.025	0.353	0.429	-0.7	0.361	0.194	28.663	27.95	28.538	30.3	29
2025-08-27 07:00:00	32.7538	-93.071	0	19.8	19.1	100.845	2.077	13.025	2.17	77.6	0	0	3.85	0.132	0	0.726	0.195	0.007	-37.65	0.162	0	0.203	0.017	-197.625	0.353	0.428	-0.7	0.361	0.194	28.5	27.8	28.363	30.275	29
2025-08-27 08:00:00	32.7538	-93.071	0	20.698	19.6	100.882	2.083	64.325	2.993	85.775	0	0	5.037	0.198	0	0.701	0.195	0.007	-37.825	0.162	0	0.203	0.017	-198.925	0.353	0.427	-0.7	0.361	0.194	28.35	27.65	28.225	30.25	29
2025-08-27 09:00:00	32.7538	-93.071	0	21.753	20.15	100.912	2.054	115.975	3.458	86.55	0	0	6.14	0.305	0	0.697	0.195	0.007	-38.025	0.162	0	0.203	0.018	-200.1	0.353	0.423	-0.7	0.361	0.194	28.275	27.6	28.15	30.175	29
2025-08-27 10:00:00	32.7538	-93.071	0	23.29	20.725	100.928	2.064	211.95	4.155	91.025	0	0	6.465	0.378	0	0.693	0.195	0.007	-38.2	0.162	0	0.203	0.017	-200.875	0.353	0.422	-0.7	0.361	0.194	28.25	27.6	28.15	30.137	29
2025-08-27 11:00:00	32.7538	-93.071	0	27.64	22.425	100.898	2.154	463.9	3.795	112.95	0	0	6.805	0.557	0	0.693	0.194	0.008	-38.375	0.161	0	0.203	0.017	-201.1	0.353	0.421	-0.7	0.361	0.194	28.363	27.775	28.25	30.075	29
