timestamp	latitude	longitude	precipitation	land_surface_temperature	air_temperature	atmospheric_pressure	vapor_pressure	solar_radiation	wind_speed	wind_direction	lightning_distance	lightning_activity	gust_speed	VPD	EC	NDVI	water_content_5cm	saturation_extract_EC_5cm	matric_potential_5cm	water_content_10cm	saturation_extract_EC_10cm	water_content_20cm	saturation_extract_EC_20cm	matric_potential_20cm	water_content_50cm	saturation_extract_EC_50cm	matric_potential_50cm	water_content_100cm	saturation_extract_EC_100cm	soil_temperature_5cm	soil_temperature_10cm	soil_temperature_20cm	soil_temperature_50cm	soil_temperature_100cm
2025-08-27 00:00:00	32.4113	-93.639	0	22.113	21.6	101.618	2.057	0	1.65	52.2	0	0	3.39	0.525	0	NA	0.261	1.192	-1363.65	0.237	0.713	0.349	2.807	-1402.3	0.195	1.551	-527.925	0.266	1.834	28.375	28.3	28	27.55	26.7
2025-08-27 01:00:00	32.4113	-93.639	0	21.945	21.45	101.625	2.071	0	1.252	59.725	0	0	2.675	0.48	0	NA	0.26	1.187	-1368.65	0.237	0.709	0.349	2.803	-1402.875	0.195	1.554	-527.575	0.267	1.833	28.137	28.1	27.962	27.55	26.7
2025-08-27 02:00:00	32.4113	-93.639	0	21.84	21.3	101.618	2.092	0	0.762	67.475	0	0	1.69	0.438	0	NA	0.26	1.18	-1370.625	0.237	0.707	0.349	2.803	-1403.45	0.195	1.555	-527.6	0.266	1.832	27.925	27.925	27.925	27.55	26.7
2025-08-27 03:00:00	32.4113	-93.639	0	21.913	21.3	101.62	2.117	0	0.713	90.55	0	0	1.622	0.415	0	NA	0.26	1.173	-1371.025	0.237	0.704	0.349	2.804	-1401.975	0.195	1.554	-528.05	0.266	1.832	27.725	27.775	27.837	27.55	26.7
2025-08-27 04:00:00	32.4113	-93.639	0	21.613	21.125	101.61	2.129	0	0.77	66.625	0	0	1.625	0.372	0	NA	0.26	1.17	-1374.325	0.237	0.702	0.349	2.803	-1403.7	0.195	1.553	-528.825	0.266	1.832	27.55	27.625	27.8	27.525	26.7
2025-08-27 05:00:00	32.4113	-93.639	0	21.503	21.05	101.598	2.133	0	0.945	55.775	0	0	1.87	0.36	0	NA	0.26	1.167	-1377.575	0.236	0.702	0.348	2.803	-1402.475	0.195	1.551	-528.55	0.266	1.832	27.4	27.525	27.738	27.5	26.7
2025-08-27 06:00:00	32.4113	-93.639	0	21.312	20.825	101.598	2.133	0	0.94	68.225	0	0	1.865	0.328	0	NA	0.26	1.162	-1378.15	0.236	0.701	0.348	2.804	-1399.025	0.195	1.553	-529.125	0.266	1.831	27.262	27.375	27.663	27.5	26.7
2025-08-27 07:00:00	32.4113	-93.639	0	21.57	20.875	101.625	2.144	14.55	1.388	60.1	0	0	2.958	0.325	0	0.741	0.26	1.159	-1384.825	0.236	0.7	0.348	2.803	-1399.725	0.195	1.551	-529.225	0.266	1.83	27.113	27.275	27.625	27.5	26.7
2025-08-27 08:00:00	32.4113	-93.639	0	22.942	21.6	101.662	2.198	57.675	1.355	72.85	0	0	3.24	0.378	0	0.694	0.259	1.158	-1393.45	0.236	0.699	0.348	2.802	-1397.725	0.195	1.551	-529.175	0.267	1.831	27.025	27.15	27.537	27.5	26.7
2025-08-27 09:00:00	32.4113	-93.639	0	25.03	22.95	101.7	2.266	122.525	1.32	85.5	0	0	3.48	0.535	0	0.689	0.259	1.16	-1395.375	0.236	0.7	0.348	2.804	-1400.45	0.195	1.55	-530.075	0.266	1.828	27	27.05	27.5	27.5	26.7
2025-08-27 10:00:00	32.4113	-93.639	0	28.812	25.05	101.705	2.371	265.225	1.6	88.95	0	0	4.425	0.805	0	0.678	0.259	1.163	-1391.725	0.236	0.702	0.348	2.806	-1404.2	0.195	1.548	-529.9	0.266	1.829	27.113	27	27.4	27.475	26.7
2025-08-27 11:00:00	32.4113	-93.639	0	33.792	27.55	101.668	2.446	665.1	1.717	103.075	0	0	4.268	1.232	0	0.667	0.259	1.173	-1389.375	0.236	0.705	0.348	2.806	-1413.725	0.195	1.548	-529.675	0.266	1.829	27.512	27.1	27.325	27.45	26.7
2025-08-27 12:00:00	32.4113	-93.639	0	35.053	28.95	101.608	2.475	641.3	1.643	119	0	0	4.058	1.522	0	0.665	0.259	1.191	-1367.175	0.236	0.71	0.347	2.804	-1417.175	0.195	1.548	-529.925	0.266	1.827	28.238	27.45	27.3	27.45	26.7
2025-08-27 13:00:00	32.4113	-93.639	0	34.532	29.75	101.553	2.487	419.075	1.302	118.25	0	0	3.15	1.695	0	0.669	0.26	1.207	-1345	0.236	0.72	0.347	2.797	-1417.075	0.195	1.549	-530.1	0.265	1.824	29.013	27.9	27.35	27.45	26.7
2025-08-27 14:00:00	32.4113	-93.639	0	35.927	30.325	101.51	2.565	414.275	1.352	90.35	0	0	3.05	1.755	0	0.669	0.26	1.214	-1329.775	0.236	0.729	0.347	2.796	-1418.575	0.195	1.549	-530	0.265	1.825	29.525	28.35	27.387	27.45	26.7
2025-08-27 15:00:00	32.4113	-93.639	0	34.987	31.05	101.44	2.574	291.875	1.095	137.55	0	0	2.57	1.935	0	0.672	0.26	1.222	-1322.425	0.237	0.734	0.347	2.8	-1418.8	0.195	1.549	-530.025	0.265	1.822	30.012	28.65	27.475	27.45	26.7
2025-08-27 16:00:00	32.4113	-93.639	0	36.502	32.225	101.365	2.698	440.35	1.312	91.6	0	0	3.225	2.12	0	0.677	0.26	1.226	-1318.925	0.237	0.738	0.347	2.8	-1417.975	0.195	1.548	-529.775	0.265	1.822	30.312	29	27.55	27.45	26.7
2025-08-27 17:00:00	32.4113	-93.639	0	33.795	32.05	101.312	2.66	293.375	1.165	121	0	0	2.857	2.105	0	0.678	0.261	1.229	-1315.6	0.237	0.74	0.348	2.801	-1420.2	0.195	1.55	-529.35	0.264	1.823	30.512	29.2	27.613	27.425	26.7
2025-08-27 18:00:00	32.4113	-93.639	0	31.15	30.35	101.298	2.593	159.4	2.235	65.625	0	0	4.68	1.74	0	0.681	0.261	1.226	-1320.45	0.237	0.74	0.348	2.8	-1420.175	0.195	1.55	-530.175	0.264	1.824	30.475	29.35	27.725	27.4	26.7
2025-08-27 19:00:00	32.4113	-93.639	0	28.718	28.525	101.312	2.502	26.25	2.317	61.85	0	0	4.348	1.403	0	0.731	0.261	1.223	-1332.6	0.237	0.739	0.348	2.8	-1416.75	0.195	1.554	-529.85	0.264	1.824	30.238	29.325	27.775	27.363	26.7
2025-08-27 20:00:00	32.4113	-93.639	0	26.983	27.05	101.33	2.462	0	1.585	68.45	0	0	3.768	1.112	0	NA	0.261	1.216	-1345.075	0.237	0.732	0.348	2.803	-1420.85	0.195	1.552	-529.425	0.264	1.824	29.875	29.175	27.85	27.35	26.7
2025-08-27 21:00:00	32.4113	-93.639	0	25.132	25.8	101.378	2.394	0	0.973	77.6	0	0	2.325	0.927	0	NA	0.261	1.209	-1350.9	0.237	0.725	0.348	2.804	-1419.95	0.195	1.552	-529.375	0.264	1.823	29.488	29	27.9	27.35	26.7
2025-08-27 22:00:00	32.4113	-93.639	0	22.997	24.25	101.408	2.328	0	0.37	158.925	0	0	0.79	0.698	0	NA	0.26	1.201	-1355.05	0.237	0.719	0.348	2.803	-1417.825	0.195	1.554	-529.55	0.264	1.82	29.087	28.75	27.9	27.35	26.7
2025-08-27 23:00:00	32.4113	-93.639	0	22.913	23.675	101.378	2.357	0	0.895	89.05	0	0	1.788	0.568	0	NA	0.26	1.195	-1365.275	0.237	0.713	0.348	2.803	-1422.05	0.195	1.552	-529.05	0.264	1.824	28.738	28.55	27.912	27.35	26.7
2025-08-28 00:00:00	32.4113	-93.639	0	21.852	22.425	101.348	2.325	0	0.342	55.725	0	0	0.922	0.385	0	NA	0.26	1.186	-1371.1	0.237	0.706	0.348	2.805	-1422.575	0.194	1.547	-529.625	0.265	1.821	28.425	28.3	27.9	27.35	26.7
2025-08-28 01:00:00	32.4113	-93.639	0	21.962	22.375	101.315	2.381	0	0.51	154.15	0	0	1.367	0.32	0	NA	0.26	1.179	-1377.15	0.237	0.702	0.348	2.801	-1423.975	0.194	1.552	-529.9	0.265	1.821	28.15	28.125	27.887	27.35	26.7
2025-08-28 02:00:00	32.4113	-93.639	0	22.475	23.25	101.27	2.501	0	0.635	125.05	0	0	1.878	0.348	0	NA	0.26	1.172	-1378.6	0.236	0.696	0.348	2.801	-1419.3	0.194	1.551	-528.775	0.265	1.822	27.9	27.95	27.8	27.4	26.7
2025-08-28 03:00:00	32.4113	-93.639	0	21.365	21.9	101.25	2.38	0	0.638	70.875	0	0	1.33	0.248	0	NA	0.259	1.169	-1382.675	0.236	0.694	0.348	2.803	-1419.525	0.195	1.551	-528.8	0.265	1.821	27.675	27.775	27.762	27.4	26.625
2025-08-28 04:00:00	32.4113	-93.639	0	21.12	21.275	101.218	2.372	0	0.525	82.425	0	0	0.925	0.158	0	NA	0.259	1.162	-1388.925	0.236	0.693	0.348	2.805	-1415.825	0.194	1.551	-530.35	0.265	1.824	27.475	27.625	27.725	27.4	26.6
2025-08-28 05:00:00	32.4113	-93.639	0	20.812	20.75	101.218	2.334	0	0.525	65.825	0	0	1.042	0.108	0	NA	0.259	1.157	-1391	0.236	0.692	0.348	2.805	-1417.6	0.194	1.552	-529.55	0.265	1.821	27.312	27.475	27.688	27.4	26.6
2025-08-28 06:00:00	32.4113	-93.639	0	20.555	20.475	101.222	2.328	0	0.462	76.675	0	0	0.897	0.08	0	NA	0.259	1.152	-1391.925	0.236	0.692	0.348	2.803	-1413.825	0.194	1.551	-530.725	0.265	1.824	27.125	27.35	27.625	27.4	26.6
2025-08-28 07:00:00	32.4113	-93.639	0	21.56	20.775	101.22	2.409	16.15	0.372	85.7	0	0	0.73	0.045	0	0.707	0.259	1.149	-1395.1	0.236	0.69	0.348	2.806	-1414.975	0.194	1.551	-530.65	0.264	1.823	26.95	27.2	27.55	27.4	26.6
