timestamp	latitude	longitude	precipitation	land_surface_temperature	air_temperature	atmospheric_pressure	vapor_pressure	solar_radiation	wind_speed	wind_direction	lightning_distance	lightning_activity	gust_speed	VPD	EC	NDVI	water_content_5cm	saturation_extract_EC_5cm	matric_potential_5cm	water_content_10cm	saturation_extract_EC_10cm	water_content_20cm	saturation_extract_EC_20cm	matric_potential_20cm	water_content_50cm	saturation_extract_EC_50cm	matric_potential_50cm	water_content_100cm	saturation_extract_EC_100cm	soil_temperature_5cm	soil_temperature_10cm	soil_temperature_20cm	soil_temperature_50cm	soil_temperature_100cm
2025-08-27 00:00:00	32.1457	-91.6902	0	21.892	22.25	101.955	2.086	0	0.418	35.7	0	0	1.195	0.597	0	NA	0.228	0.151	-94.4	0.188	0.21	0.179	0.173	-54.475	0.31	0.629	-12.9	0.261	NA	27.2	27.85	28.362	27.65	27
2025-08-27 01:00:00	32.1457	-91.6902	0	21.913	21.975	101.993	2.116	0	0.375	104.825	0	0	1.107	0.522	0	NA	0.228	0.151	-94.575	0.188	0.208	0.179	0.173	-54.575	0.31	0.628	-13.075	0.261	NA	26.975	27.65	28.275	27.65	27
2025-08-27 02:00:00	32.1457	-91.6902	0	21.655	21.825	101.985	2.106	0	0.635	43.825	0	0	2.042	0.508	0	NA	0.228	0.151	-94.6	0.188	0.208	0.179	0.173	-54.575	0.31	0.628	-13.275	0.261	NA	26.775	27.45	28.163	27.65	27
2025-08-27 03:00:00	32.1457	-91.6902	0	21.593	21.525	101.988	2.11	0	0.442	189.75	0	0	1.378	0.455	0	NA	0.228	0.152	-94.75	0.188	0.207	0.178	0.172	-54.6	0.309	0.629	-13.475	0.261	NA	26.6	27.3	28.05	27.65	26.95
2025-08-27 04:00:00	32.1457	-91.6902	0	21.432	21.275	102.007	2.12	0	0.49	182.275	0	0	1.45	0.408	0	NA	0.227	0.151	-94.95	0.188	0.207	0.178	0.173	-54.675	0.309	0.628	-13.65	0.261	NA	26.438	27.15	27.938	27.65	26.9
2025-08-27 05:00:00	32.1457	-91.6902	0	21.102	20.975	101.988	2.128	0	0.738	199.3	0	0	2.058	0.353	0	NA	0.227	0.15	-95.025	0.188	0.205	0.178	0.172	-54.7	0.309	0.627	-13.85	0.261	NA	26.262	27.025	27.838	27.65	26.9
2025-08-27 06:00:00	32.1457	-91.6902	0	20.825	20.8	102.002	2.092	0	0.53	14.4	0	0	1.465	0.362	0	NA	0.227	0.15	-95.1	0.188	0.206	0.178	0.171	-54.7	0.308	0.627	-14.05	0.261	NA	26.075	26.85	27.738	27.65	26.9
2025-08-27 07:00:00	32.1457	-91.6902	0	21.515	21	102.048	2.119	35.8	0.758	37.15	0	0	2.28	0.37	0	0.816	0.227	0.149	-95.15	0.188	0.206	0.178	0.17	-54.7	0.308	0.627	-14.25	0.261	NA	25.938	26.725	27.625	27.65	26.9
2025-08-27 08:00:00	32.1457	-91.6902	0	23.442	21.975	102.078	2.208	158.025	0.94	51.25	0	0	3.388	0.432	0	0.79	0.227	0.148	-95.3	0.188	0.206	0.178	0.168	-54.725	0.308	0.627	-14.45	0.261	NA	25.9	26.6	27.525	27.65	26.9
2025-08-27 09:00:00	32.1457	-91.6902	0	26.688	23.675	102.088	2.318	401.85	1.692	69.125	0	0	4.018	0.615	0	0.783	0.226	0.15	-95.775	0.187	0.206	0.177	0.168	-54.9	0.308	0.627	-14.65	0.261	NA	26.113	26.6	27.425	27.6	26.9
