timestamp	latitude	longitude	precipitation	land_surface_temperature	air_temperature	atmospheric_pressure	vapor_pressure	solar_radiation	wind_speed	wind_direction	lightning_distance	lightning_activity	gust_speed	VPD	EC	NDVI	water_content_5cm	saturation_extract_EC_5cm	matric_potential_5cm	water_content_10cm	saturation_extract_EC_10cm	water_content_20cm	saturation_extract_EC_20cm	matric_potential_20cm	water_content_50cm	saturation_extract_EC_50cm	matric_potential_50cm	water_content_100cm	saturation_extract_EC_100cm	soil_temperature_5cm	soil_temperature_10cm	soil_temperature_20cm	soil_temperature_50cm	soil_temperature_100cm
2025-08-27 00:00:00	31.9498	-91.2337	0	22.538	23.225	101.912	2.095	0	0.913	42.525	0	0	2.075	0.748	0	NA	0.198	0.286	-626.825	0.217	0.921	0.207	2.301	-213.35	0.169	NA	-196.1	0.299	NA	29.363	29.8	29.375	28.55	28
2025-08-27 01:00:00	31.9498	-91.2337	0	22.718	23.125	101.925	2.105	0	0.795	46.925	0	0	1.88	0.725	0	NA	0.198	0.287	-635.025	0.217	0.92	0.207	2.298	-214.225	0.169	NA	-196.6	0.298	NA	29.062	29.55	29.3	28.55	28
2025-08-27 02:00:00	31.9498	-91.2337	0	22.585	22.85	101.93	2.104	0	0.988	38.3	0	0	1.978	0.677	0	NA	0.198	0.288	-641.15	0.217	0.919	0.207	2.298	-215.25	0.169	NA	-196.975	0.298	NA	28.8	29.35	29.238	28.55	28
2025-08-27 03:00:00	31.9498	-91.2337	0	22.267	22.5	101.938	2.108	0	0.853	36.15	0	0	2.055	0.613	0	NA	0.198	0.288	-646.875	0.216	0.92	0.207	2.294	-215.925	0.169	NA	-197.5	0.298	NA	28.575	29.175	29.175	28.55	28
2025-08-27 04:00:00	31.9498	-91.2337	0	21.892	22.1	101.958	2.133	0	0.627	109.875	0	0	1.635	0.528	0	NA	0.198	0.287	-651.325	0.216	0.919	0.207	2.296	-217	0.168	NA	-197.9	0.298	NA	28.375	29.025	29.1	28.55	28
2025-08-27 05:00:00	31.9498	-91.2337	0	21.788	21.9	101.963	2.151	0	0.57	39.275	0	0	1.472	0.48	0	NA	0.197	0.285	-656.6	0.216	0.918	0.207	2.292	-217.8	0.168	NA	-198.25	0.298	NA	28.212	28.85	29.025	28.55	28
2025-08-27 06:00:00	31.9498	-91.2337	0	21.672	21.9	101.98	2.137	0	0.71	47.9	0	0	2.062	0.492	0	NA	0.197	0.284	-661	0.216	0.918	0.207	2.294	-218.825	0.168	NA	-198.825	0.298	NA	28.05	28.725	28.938	28.575	28
2025-08-27 07:00:00	31.9498	-91.2337	0	22.605	22.125	102.002	2.157	29.5	0.667	81.75	0	0	2.223	0.498	0	0.9	0.197	0.284	-663.575	0.216	0.918	0.207	2.292	-219.7	0.168	NA	-199	0.298	NA	27.875	28.575	28.875	28.562	27.975
2025-08-27 08:00:00	31.9498	-91.2337	0	24.77	22.425	102.042	2.192	127.225	0.708	98.125	0	0	2.025	0.52	0	0.831	0.197	0.283	-667.5	0.216	0.917	0.207	2.292	-220.35	0.168	NA	-199.625	0.298	NA	27.775	28.45	28.775	28.55	27.9
2025-08-27 09:00:00	31.9498	-91.2337	0	28.872	23.925	102.055	2.341	419.45	1.232	113.05	0	0	3.643	0.627	0	0.81	0.197	0.284	-668.9	0.215	0.918	0.207	2.289	-221.25	0.168	NA	-200.075	0.298	NA	27.825	28.375	28.712	28.55	27.9
2025-08-27 10:00:00	31.9498	-91.2337	0	31.468	25.4	102.082	2.369	572.275	1.51	124.825	0	0	3.898	0.873	0	0.805	0.197	0.286	-669.375	0.215	0.919	0.207	2.289	-221.95	0.168	NA	-200.375	0.298	NA	28.15	28.35	28.65	28.55	27.9
2025-08-27 11:00:00	31.9498	-91.2337	0	34.962	26.7	102.045	2.463	705.625	1.502	100.425	0	0	3.65	1.04	0	0.794	0.197	0.288	-667.625	0.215	0.92	0.206	2.288	-222.75	0.167	NA	-201.075	0.298	NA	28.8	28.475	28.587	28.55	27.9
2025-08-27 12:00:00	31.9498	-91.2337	0	35.385	27.7	101.998	2.571	694.55	1.175	77.325	0	0	3.055	1.145	0	0.794	0.197	0.292	-659.05	0.214	0.919	0.206	2.293	-223.525	0.166	NA	-201.875	0.298	NA	29.75	28.75	28.55	28.55	27.9
2025-08-27 13:00:00	31.9498	-91.2337	0	35.26	27.9	101.94	2.576	686.25	1.112	87.675	0	0	2.905	1.188	0	0.804	0.197	0.293	-648.325	0.214	0.918	0.206	2.293	-223.975	0.165	NA	-202.95	0.297	NA	30.65	29.15	28.6	28.55	27.9
2025-08-27 14:00:00	31.9498	-91.2337	0	37.555	28.95	101.888	2.68	783.9	1.433	90.425	0	0	3.46	1.312	0	0.795	0.197	0.294	-639.9	0.214	0.916	0.206	2.296	-224.125	0.164	NA	-203.975	0.297	NA	31.3	29.55	28.625	28.55	27.9
2025-08-27 15:00:00	31.9498	-91.2337	0	33.72	28.7	101.83	2.644	394.425	1.052	96.375	0	0	2.498	1.292	0	0.813	0.197	0.294	-633.675	0.214	0.916	0.206	2.296	-224.325	0.163	NA	-205.15	0.296	NA	31.975	29.95	28.712	28.55	27.9
2025-08-27 16:00:00	31.9498	-91.2337	0	35.487	29.525	101.757	2.71	583.4	1.452	134.45	0	0	3.183	1.42	0	0.814	0.197	0.293	-629.9	0.214	0.915	0.206	2.3	-224.475	0.162	NA	-206.275	0.296	NA	32.112	30.325	28.812	28.5	27.9
2025-08-27 17:00:00	31.9498	-91.2337	0	32.14	29.05	101.725	2.669	254.05	1.087	97.75	0	0	2.45	1.348	0	0.821	0.197	0.292	-629.7	0.214	0.916	0.205	2.3	-224.375	0.162	NA	-207.325	0.296	NA	32.163	30.55	28.925	28.462	27.9
2025-08-27 18:00:00	31.9498	-91.2337	0	30.51	29.25	101.708	2.652	199.05	0.823	82.725	0	0	1.84	1.415	0	0.818	0.197	0.288	-631.625	0.215	0.915	0.206	2.3	-224.25	0.162	NA	-208.05	0.295	NA	31.975	30.65	29.038	28.45	27.9
2025-08-27 19:00:00	31.9498	-91.2337	0	26.79	27.95	101.72	2.553	27.25	0.75	88.2	0	0	1.38	1.22	0	0.85	0.197	0.29	-636.95	0.215	0.914	0.206	2.3	-224.65	0.161	NA	-208.625	0.295	NA	31.663	30.65	29.15	28.45	27.9
2025-08-27 20:00:00	31.9498	-91.2337	0	23.37	25.3	101.745	2.556	0	0.408	77.45	0	0	0.855	0.67	0	NA	0.197	0.286	-642.875	0.215	0.913	0.206	2.299	-224.625	0.161	NA	-209.225	0.295	NA	31.175	30.55	29.25	28.45	27.9
2025-08-27 21:00:00	31.9498	-91.2337	0	22.632	24.2	101.782	2.58	0	0.502	60.425	0	0	0.91	0.438	0	NA	0.197	0.285	-652.5	0.215	0.914	0.206	2.299	-224.975	0.161	NA	-209.875	0.295	NA	30.625	30.35	29.275	28.45	27.9
2025-08-27 22:00:00	31.9498	-91.2337	0	22.898	23.675	101.762	2.599	0	0.27	158.975	0	0	0.622	0.325	0	NA	0.197	0.281	-662.825	0.215	0.913	0.206	2.295	-225.6	0.161	NA	-210.45	0.295	NA	30.075	30.125	29.3	28.45	27.9
2025-08-27 23:00:00	31.9498	-91.2337	0	22.462	23.475	101.748	2.6	0	0.49	74.6	0	0	0.907	0.29	0	NA	0.197	0.281	-669.6	0.215	0.913	0.206	2.293	-226.275	0.161	NA	-210.825	0.295	NA	29.625	29.875	29.3	28.462	27.9
2025-08-28 00:00:00	31.9498	-91.2337	0	22.88	23.475	101.738	2.617	0	0.55	97.975	0	0	1.002	0.275	0	NA	0.197	0.281	-678.075	0.215	0.911	0.206	2.293	-227.075	0.161	NA	-211.325	0.295	NA	29.288	29.65	29.262	28.5	27.9
2025-08-28 01:00:00	31.9498	-91.2337	0	22.548	23.15	101.692	2.601	0	0.43	111.05	0	0	0.735	0.232	0	NA	0.197	0.28	-688.1	0.215	0.911	0.206	2.288	-228.1	0.161	NA	-211.8	0.295	NA	28.975	29.425	29.225	28.5	27.9
2025-08-28 02:00:00	31.9498	-91.2337	0	22.442	23.1	101.638	2.604	0	0.798	144.325	0	0	1.698	0.228	0	NA	0.196	0.279	-694.3	0.215	0.909	0.206	2.29	-228.975	0.161	NA	-212.025	0.295	NA	28.725	29.25	29.15	28.525	27.9
2025-08-28 03:00:00	31.9498	-91.2337	0	21.727	23.425	101.612	2.556	0	0.595	113.275	0	0	1.022	0.318	0	NA	0.196	0.278	-701.75	0.214	0.909	0.206	2.289	-230.25	0.161	NA	-212.6	0.295	NA	28.525	29.05	29.088	28.55	27.9
2025-08-28 04:00:00	31.9498	-91.2337	0	21.49	22.575	101.625	2.514	0	0.43	49.55	0	0	0.86	0.225	0	NA	0.196	0.279	-705.95	0.214	0.909	0.206	2.286	-231.325	0.161	NA	-212.825	0.295	NA	28.3	28.9	29.012	28.55	27.9
2025-08-28 05:00:00	31.9498	-91.2337	0	21.328	22.25	101.635	2.522	0	0.445	137	0	0	0.91	0.165	0	NA	0.196	0.279	-710.725	0.214	0.91	0.206	2.286	-232.125	0.161	NA	-213.375	0.295	NA	28.1	28.75	28.925	28.55	27.9
2025-08-28 06:00:00	31.9498	-91.2337	0	21.998	22.7	101.625	2.618	0	1.27	154.95	0	0	2.03	0.138	0	NA	0.196	0.278	-715.85	0.214	0.908	0.206	2.282	-232.9	0.161	NA	-213.425	0.295	NA	27.913	28.575	28.875	28.55	27.9
2025-08-28 07:00:00	31.9498	-91.2337	0	24.062	23.55	101.615	2.757	26.55	0.968	169.15	0	0	2.235	0.145	0	0.854	0.196	0.278	-719.25	0.214	0.908	0.206	2.283	-233.85	0.161	NA	-214.15	0.295	NA	27.75	28.45	28.787	28.55	27.9
