timestamp	latitude	longitude	precipitation	land_surface_temperature	air_temperature	atmospheric_pressure	vapor_pressure	solar_radiation	wind_speed	wind_direction	lightning_distance	lightning_activity	gust_speed	VPD	EC	NDVI	water_content_5cm	saturation_extract_EC_5cm	matric_potential_5cm	water_content_10cm	saturation_extract_EC_10cm	water_content_20cm	saturation_extract_EC_20cm	matric_potential_20cm	water_content_50cm	saturation_extract_EC_50cm	matric_potential_50cm	water_content_100cm	saturation_extract_EC_100cm	soil_temperature_5cm	soil_temperature_10cm	soil_temperature_20cm	soil_temperature_50cm	soil_temperature_100cm
2025-08-27 00:00:00	32.7538	-93.071	0	20.19	19.6	100.83	2.07	0	1.78	71	0	0	3.37	0.2	0	NA	0.195	0.01	-35.5	0.163	0	0.203	0.017	-185.9	0.354	0.436	-0.7	0.361	0.195	30	29.5	29.95	30.45	29
2025-08-27 00:15:00	32.7538	-93.071	0	20.17	19.5	100.82	2.071	0	1.76	73.9	0	0	2.98	0.2	0	NA	0.195	0.01	-35.6	0.163	0	0.203	0.017	-186.2	0.354	0.435	-0.7	0.361	0.194	29.9	29.5	29.85	30.45	29
2025-08-27 00:30:00	32.7538	-93.071	0	20.18	19.5	100.83	2.074	0	1.56	52.4	0	0	2.91	0.19	0	NA	0.195	0.011	-35.7	0.163	0	0.203	0.017	-186.6	0.353	0.436	-0.7	0.361	0.194	29.9	29.4	29.799999999999997	30.45	29
2025-08-27 00:45:00	32.7538	-93.071	0	20.15	19.5	100.84	2.076	0	1.96	59.8	0	0	3.57	0.19	0	NA	0.195	0.01	-35.8	0.163	0	0.203	0.017	-186.9	0.354	0.435	-0.7	0.361	0.195	29.85	29.3	29.75	30.45	29
2025-08-27 01:00:00	32.7538	-93.071	0	20.1	19.4	100.83	2.079	0	1.83	55.2	0	0	3.77	0.17	0	NA	0.195	0.011	-35.9	0.163	0	0.203	0.017	-187.5	0.354	0.436	-0.7	0.361	0.194	29.75	29.2	29.700000000000003	30.45	29
2025-08-27 01:15:00	32.7538	-93.071	0	20.07	19.4	100.83	2.079	0	1.61	61	0	0	3.41	0.17	0	NA	0.195	0.009	-35.9	0.163	0	0.203	0.017	-187.9	0.354	0.435	-0.7	0.361	0.194	29.65	29.2	29.6	30.45	29
2025-08-27 01:30:00	32.7538	-93.071	0	20.02	19.3	100.82	2.078	0	1.83	70.1	0	0	3.69	0.16	0	NA	0.195	0.009	-36	0.163	0	0.203	0.016	-188.3	0.353	0.434	-0.7	0.361	0.194	29.65	29.1	29.549999999999997	30.45	29
2025-08-27 01:45:00	32.7538	-93.071	0	19.96	19.3	100.82	2.079	0	1.99	66	0	0	3.63	0.15	0	NA	0.195	0.009	-36.1	0.162	0	0.203	0.016	-188.8	0.353	0.434	-0.7	0.361	0.195	29.55	29	29.5	30.45	29
2025-08-27 02:00:00	32.7538	-93.071	0	19.92	19.2	100.82	2.08	0	1.81	72.1	0	0	3.2	0.14	0	NA	0.195	0.008	-36.2	0.162	0	0.203	0.017	-189.1	0.353	0.433	-0.7	0.361	0.195	29.5	28.9	29.4	30.45	29
2025-08-27 02:15:00	32.7538	-93.071	0	19.92	19.2	100.83	2.081	0	1.56	61.4	0	0	4.08	0.14	0	NA	0.195	0.009	-36.2	0.162	0	0.203	0.016	-189.7	0.353	0.433	-0.7	0.361	0.194	29.5	28.9	29.35	30.45	29
