timestamp	latitude	longitude	precipitation	land_surface_temperature	air_temperature	atmospheric_pressure	vapor_pressure	solar_radiation	wind_speed	wind_direction	lightning_distance	lightning_activity	gust_speed	VPD	EC	NDVI	water_content_5cm	saturation_extract_EC_5cm	matric_potential_5cm	water_content_10cm	saturation_extract_EC_10cm	water_content_20cm	saturation_extract_EC_20cm	matric_potential_20cm	water_content_50cm	saturation_extract_EC_50cm	matric_potential_50cm	water_content_100cm	saturation_extract_EC_100cm	soil_temperature_5cm	soil_temperature_10cm	soil_temperature_20cm	soil_temperature_50cm	soil_temperature_100cm
2025-08-27 00:00:00	32.4113	-93.639	0	22.19	21.7	101.61	2.049	0	1.77	51.5	0	0	3.41	0.55	0	NA	0.261	1.195	-1362.1	0.237	0.714	0.349	2.806	-1395.7	0.195	1.557	-528.8	0.266	1.837	28.45	28.4	28	27.55	26.7
2025-08-27 00:15:00	32.4113	-93.639	0	22.13	21.6	101.61	2.056	0	1.72	51	0	0	3.54	0.53	0	NA	0.261	1.193	-1363	0.237	0.714	0.349	2.807	-1401.2	0.195	1.532	-527.2	0.266	1.833	28.4	28.3	28	27.55	26.7
2025-08-27 00:30:00	32.4113	-93.639	0	22.11	21.6	101.63	2.059	0	1.65	50.3	0	0	3.43	0.52	0	NA	0.261	1.191	-1364.6	0.237	0.712	0.349	2.807	-1408.9	0.195	1.557	-527.3	0.266	1.832	28.35	28.3	28	27.55	26.7
2025-08-27 00:45:00	32.4113	-93.639	0	22.02	21.5	101.62	2.065	0	1.46	56	0	0	3.18	0.5	0	NA	0.261	1.189	-1364.9	0.237	0.711	0.349	2.807	-1403.4	0.195	1.558	-528.4	0.266	1.833	28.299999999999997	28.2	28	27.55	26.7
2025-08-27 01:00:00	32.4113	-93.639	0	21.95	21.4	101.61	2.067	0	1.6	64.8	0	0	3.07	0.48	0	NA	0.26	1.189	-1375.6	0.237	0.711	0.349	2.807	-1405.1	0.195	1.554	-528.1	0.267	1.832	28.25	28.2	28	27.55	26.7
2025-08-27 01:15:00	32.4113	-93.639	0	22	21.5	101.62	2.069	0	1.48	54.4	0	0	2.83	0.49	0	NA	0.26	1.187	-1363.3	0.237	0.71	0.349	2.801	-1403.1	0.195	1.554	-527.1	0.267	1.832	28.15	28.1	27.95	27.55	26.7
2025-08-27 01:30:00	32.4113	-93.639	0	21.97	21.5	101.64	2.071	0	1.03	53.2	0	0	2.36	0.49	0	NA	0.26	1.185	-1370.2	0.237	0.709	0.349	2.802	-1405.7	0.195	1.554	-527.6	0.267	1.837	28.1	28.1	27.95	27.55	26.7
2025-08-27 01:45:00	32.4113	-93.639	0	21.86	21.4	101.63	2.077	0	0.9	66.5	0	0	2.44	0.46	0	NA	0.26	1.185	-1365.5	0.237	0.707	0.349	2.802	-1397.6	0.195	1.554	-527.5	0.267	1.832	28.049999999999997	28	27.95	27.55	26.7
2025-08-27 02:00:00	32.4113	-93.639	0	21.77	21.3	101.62	2.083	0	0.61	84.9	0	0	1.82	0.45	0	NA	0.26	1.183	-1369.6	0.237	0.708	0.349	2.802	-1403.1	0.195	1.557	-527.6	0.266	1.832	28	28	27.95	27.55	26.7
2025-08-27 02:15:00	32.4113	-93.639	0	21.8	21.3	101.62	2.09	0	0.64	73.8	0	0	1.42	0.44	0	NA	0.26	1.178	-1367.1	0.237	0.708	0.349	2.802	-1407.3	0.195	1.554	-527.3	0.266	1.832	27.950000000000003	27.9	27.95	27.55	26.7
