timestamp	latitude	longitude	land_surface_temperature	body_temperature	air_temperature	atmospheric_pressure	vapor_pressure	solar_radiation	max_precipitation_rate	wind_speed	wind_direction	tilt_angle	lightning_distance	lightning_activity	RH_sensor_temperature	gust_speed	VPD	EC	NDVI	water_content_5cm	water_content_20cm	water_content_50cm	saturation_extract_EC_5cm	saturation_extract_EC_20cm	saturation_extract_EC_50cm	matric_potential_5cm	matric_potential_20cm	matric_potential_50cm	soil_temperature_5cm	soil_temperature_20cm	soil_temperature_50cm	precipitation	drop_counts	spoon_tips
2025-05-26T05:00:00Z	30.3734	-91.1636	23.15	24.138	24.35	101.692	2.893	0	0	0.792	270.625	0.25	0	0	24.325	1.198	0.152	0	0.152	0.288	0.382	0.415	2.722	1.414	3.336	-163.45	-56	-0.1	28.137	28.113	25.4	0	0	0
2025-05-26T06:00:00Z	30.3734	-91.1636	23.3	24.328	24.55	101.62	2.947	0	0	0.507	193.125	0.325	0	0	24.425	1.332	0.14	0	0.104	0.288	0.382	0.415	2.726	1.412	3.336	-165.075	-55.4	-0.1	27.837	27.925	25.4	0	0	0
2025-05-26T07:00:00Z	30.3734	-91.1636	24.032	25.012	24.975	101.532	3.023	0	0	0.985	205.15	0.25	0	0	24.975	2.322	0.14	0	0.084	0.287	0.382	0.415	2.726	1.411	3.335	-166.725	-54.825	-0.1	27.575	27.763	25.412	0	0	0
2025-05-26T08:00:00Z	30.3734	-91.1636	24.215	24.942	24.825	101.48	3.018	0	0	0.623	206.525	0.275	0	0	25	2.03	0.115	0	0.064	0.287	0.382	0.415	2.727	1.408	3.334	-168.175	-54.375	-0.1	27.375	27.6	25.5	0	0	0
2025-05-26T09:00:00Z	30.3734	-91.1636	24.377	24.947	24.85	101.46	3.035	0	0	0.695	222.325	0.275	0	0	25.05	1.748	0.103	0	0.081	0.287	0.382	0.416	2.728	1.408	3.334	-169.275	-53.95	-0.1	27.212	27.45	25.5	0	0	0
2025-05-26T10:00:00Z	30.3734	-91.1636	24.61	25.113	25	101.44	3.061	0	0	0.89	194.05	0.275	0	0	25.2	2.25	0.1	0	0.064	0.287	0.382	0.416	2.726	1.407	3.332	-170.35	-53.55	-0.1	27.087	27.312	25.5	0	0	0
2025-05-26T11:00:00Z	30.3734	-91.1636	24.685	25.058	24.8	101.45	3.055	8.65	0	0.815	179.975	0.3	0	0	25.175	2.487	0.075	0	0.203	0.287	0.382	0.416	2.726	1.406	3.332	-171.375	-53.2	-0.1	26.975	27.212	25.5	0	0	0
2025-05-26T12:00:00Z	30.3734	-91.1636	25.7	25.33	24.775	101.485	3.106	81.15	0	0.723	162.75	0.25	0	0	25.525	1.99	0.02	0	0.371	0.287	0.381	0.416	2.727	1.406	3.335	-172.3	-52.95	-0.1	26.9	27.113	25.5	0	0	0
2025-05-26T13:00:00Z	30.3734	-91.1636	28.42	26.657	25.75	101.525	3.256	200.95	0	1.367	185.475	0.225	0	0	27	3.6	0.058	0	0.374	0.287	0.381	0.416	2.72	1.406	3.33	-173	-52.65	-0.1	26.912	27.038	25.55	0	0	0
2025-05-26T14:00:00Z	30.3734	-91.1636	31.477	28.227	27.25	101.54	3.365	344.2	0	2.745	190.1	0.125	0	0	28.95	5.635	0.255	0	0.38	0.287	0.381	0.416	2.71	1.406	3.329	-173.4	-52.675	-0.1	27.163	26.962	25.6	0	0	0
2025-05-26T15:00:00Z	30.3734	-91.1636	35.325	29.44	28.35	101.535	3.384	558.15	0	2.885	186.95	0.2	0	0	30.4	6.175	0.475	0	0.391	0.287	0.381	0.416	2.699	1.407	3.329	-173.167	-53.333	-0.1	27.55	27	25.6	0	0	0
