timestamp	latitude	longitude	land_surface_temperature	body_temperature	air_temperature	atmospheric_pressure	vapor_pressure	solar_radiation	precipitation	max_precipitation_rate	wind_speed	wind_direction	tilt_angle	lightning_distance	lightning_activity	RH_sensor_temperature	gust_speed	VPD	drop_counts	spoon_tips	EC	NDVI	water_content_10	soil_temperature_10cm	saturation_extract_EC_10cm	water_content_100cm	saturation_extract_EC_100cm	soil_temperature_100cm	water_content_5cm	water_content_20cm	water_content_50cm	saturation_extract_EC_5cm	saturation_extract_EC_20cm	saturation_extract_EC_50cm	matric_potential_5cm	matric_potential_20cm	matric_potential_50cm	soil_temperature_5cm	soil_temperature_20cm	soil_temperature_50cm	date
2025-05-26T05:00:00Z	30.3734	-91.1636	24.58	24.05	24.3	101.71	2.877	0	0	0	0.85	264.8	0.2	0	0	24.3	1.26	0.16	0	0	0	0.187	NA	NA	NA	NA	NA	NA	0.288	0.383	0.415	2.72	1.413	3.336	-162.9	-56.3	-0.1	28.25	28.15	25.4	2025-05-26
2025-05-26T05:15:00Z	30.3734	-91.1636	23.41	24.28	24.6	101.71	2.925	0	0	0	0.92	274.9	0.2	0	0	24.5	1.37	0.16	0	0	0	0.145	NA	NA	NA	NA	NA	NA	0.288	0.383	0.415	2.721	1.413	3.337	-163.3	-56.1	-0.1	28.15	28.15	25.4	2025-05-26
2025-05-26T05:30:00Z	30.3734	-91.1636	22.45	24.19	24.4	101.69	2.897	0	0	0	0.75	278.5	0.3	0	0	24.4	1.16	0.16	0	0	0	0.149	NA	NA	NA	NA	NA	NA	0.288	0.382	0.415	2.723	1.414	3.336	-163.5	-55.9	-0.1	28.1	28.1	25.4	2025-05-26
2025-05-26T05:45:00Z	30.3734	-91.1636	22.16	24.03	24.1	101.66	2.873	0	0	0	0.65	264.3	0.3	0	0	24.1	1	0.13	0	0	0	0.128	NA	NA	NA	NA	NA	NA	0.288	0.382	0.415	2.725	1.414	3.336	-164.1	-55.7	-0.1	28.049999999999997	28.05	25.4	2025-05-26
2025-05-26T06:00:00Z	30.3734	-91.1636	22.32	23.99	24.1	101.66	2.887	0	0	0	0.6	270.3	0.3	0	0	24.1	0.93	0.11	0	0	0	0.098	NA	NA	NA	NA	NA	NA	0.288	0.382	0.415	2.726	1.412	3.336	-164.7	-55.6	-0.1	27.950000000000003	28	25.4	2025-05-26
2025-05-26T06:15:00Z	30.3734	-91.1636	23.04	24.04	24.4	101.63	2.903	0	0	0	0.6	220	0.4	0	0	24.1	1.84	0.15	0	0	0	0.106	NA	NA	NA	NA	NA	NA	0.288	0.382	0.415	2.727	1.412	3.335	-164.8	-55.5	-0.1	27.85	27.95	25.4	2025-05-26
2025-05-26T06:30:00Z	30.3734	-91.1636	24.05	24.52	24.9	101.61	2.998	0	0	0	0.5	145.6	0.3	0	0	24.7	1.45	0.16	0	0	0	0.106	NA	NA	NA	NA	NA	NA	0.288	0.382	0.415	2.729	1.413	3.337	-165.2	-55.3	-0.1	27.799999999999997	27.9	25.4	2025-05-26
2025-05-26T06:45:00Z	30.3734	-91.1636	23.79	24.76	24.8	101.58	2.999	0	0	0	0.33	136.6	0.3	0	0	24.8	1.11	0.14	0	0	0	0.107	NA	NA	NA	NA	NA	NA	0.288	0.382	0.415	2.723	1.41	3.336	-165.6	-55.2	-0.1	27.75	27.85	25.4	2025-05-26
2025-05-26T07:00:00Z	30.3734	-91.1636	23.87	24.8	24.9	101.56	3.005	0	0	0	0.59	208.4	0.2	0	0	24.8	1.58	0.14	0	0	0	0.099	NA	NA	NA	NA	NA	NA	0.287	0.382	0.415	2.725	1.411	3.335	-166.1	-55	-0.1	27.65	27.85	25.4	2025-05-26
2025-05-26T07:15:00Z	30.3734	-91.1636	24.24	24.98	25	101.54	3.029	0	0	0	0.99	192.9	0.3	0	0	25	2.88	0.15	0	0	0	0.092	NA	NA	NA	NA	NA	NA	0.287	0.382	0.415	2.726	1.411	3.335	-166.5	-54.9	-0.1	27.65	27.75	25.4	2025-05-26
2025-05-26T07:30:00Z	30.3734	-91.1636	24.11	25.18	25	101.53	3.04	0	0	0	1.31	206.9	0.2	0	0	25.1	2.41	0.13	0	0	0	0.069	NA	NA	NA	NA	NA	NA	0.287	0.382	0.415	2.726	1.412	3.335	-167	-54.7	-0.1	27.549999999999997	27.75	25.4	2025-05-26
2025-05-26T07:45:00Z	30.3734	-91.1636	23.91	25.09	25	101.5	3.02	0	0	0	1.05	212.4	0.3	0	0	25	2.42	0.14	0	0	0	0.078	NA	NA	NA	NA	NA	NA	0.287	0.382	0.415	2.728	1.409	3.335	-167.3	-54.7	-0.1	27.450000000000003	27.700000000000003	25.45	2025-05-26
2025-05-26T08:00:00Z	30.3734	-91.1636	24.05	25.02	24.8	101.5	3.017	0	0	0	0.72	211.6	0.2	0	0	25	2.3	0.12	0	0	0	0.07	NA	NA	NA	NA	NA	NA	0.287	0.382	0.415	2.729	1.409	3.333	-167.6	-54.6	-0.1	27.450000000000003	27.65	25.5	2025-05-26
2025-05-26T08:15:00Z	30.3734	-91.1636	24.19	24.91	24.8	101.5	3.012	0	0	0	0.56	206.9	0.3	0	0	25	1.87	0.11	0	0	0	0.094	NA	NA	NA	NA	NA	NA	0.287	0.382	0.415	2.73	1.409	3.332	-168	-54.4	-0.1	27.35	27.65	25.5	2025-05-26
2025-05-26T08:30:00Z	30.3734	-91.1636	24.3	24.88	24.8	101.47	3.013	0	0	0	0.61	207.3	0.3	0	0	25	2.28	0.11	0	0	0	0.06	NA	NA	NA	NA	NA	NA	0.287	0.382	0.416	2.724	1.407	3.332	-168.4	-54.3	-0.1	27.35	27.55	25.5	2025-05-26
2025-05-26T08:45:00Z	30.3734	-91.1636	24.32	24.96	24.9	101.45	3.029	0	0	0	0.6	200.3	0.3	0	0	25	1.67	0.12	0	0	0	0.03	NA	NA	NA	NA	NA	NA	0.287	0.382	0.415	2.726	1.407	3.34	-168.7	-54.2	-0.1	27.35	27.55	25.5	2025-05-26
2025-05-26T09:00:00Z	30.3734	-91.1636	24.08	24.91	24.8	101.45	3.017	0	0	0	0.53	238.6	0.3	0	0	25	1.29	0.11	0	0	0	0.076	NA	NA	NA	NA	NA	NA	0.287	0.382	0.415	2.726	1.407	3.34	-169	-54.1	-0.1	27.25	27.5	25.5	2025-05-26
2025-05-26T09:15:00Z	30.3734	-91.1636	24.54	24.87	24.8	101.46	3.027	0	0	0	0.67	220.8	0.3	0	0	25	2.01	0.1	0	0	0	0.09	NA	NA	NA	NA	NA	NA	0.287	0.382	0.416	2.727	1.408	3.332	-168.9	-54	-0.1	27.25	27.45	25.5	2025-05-26
2025-05-26T09:30:00Z	30.3734	-91.1636	24.59	24.99	24.9	101.47	3.047	0	0	0	0.79	222.7	0.2	0	0	25.1	1.84	0.1	0	0	0	0.072	NA	NA	NA	NA	NA	NA	0.287	0.382	0.415	2.728	1.408	3.332	-169.3	-53.9	-0.1	27.200000000000003	27.45	25.5	2025-05-26
2025-05-26T09:45:00Z	30.3734	-91.1636	24.3	25.02	24.9	101.46	3.048	0	0	0	0.79	207.2	0.3	0	0	25.1	1.85	0.1	0	0	0	0.085	NA	NA	NA	NA	NA	NA	0.287	0.382	0.416	2.729	1.409	3.332	-169.9	-53.8	-0.1	27.15	27.4	25.5	2025-05-26
